ip_address,school_name,hostname,phase2_match,asn,whois_org,is_hosting,whois_match,fcc_match,score,confidence
65.254.5.20,Harding Avenue Elementary School,c.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.21,Harding Avenue Elementary School,s.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.23,Harding Avenue Elementary School,mailgw.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.22,Harding Avenue Elementary School,mailfilter.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.24,Harding Avenue Elementary School,ftpwww.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.26,Harding Avenue Elementary School,kevin-s-nj.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.33,Harding Avenue Elementary School,icampus.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.41,Harding Avenue Elementary School,traveler.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.47,Harding Avenue Elementary School,sm3.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.69,Harding Avenue Elementary School,mailgw.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
