ip_address,school_name,hostname,phase2_match,asn,whois_org,is_hosting,whois_match,fcc_match,score,confidence,ripe_validated,ripe_validated
163.153.159.83,Flanders Elementary School,83.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.90,Flanders Elementary School,90.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.92,Flanders Elementary School,92.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.91,Flanders Elementary School,91.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.94,Flanders Elementary School,94.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.93,Flanders Elementary School,93.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.87,Flanders Elementary School,87.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.99,Flanders Elementary School,99.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.95,Flanders Elementary School,95.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.100,Flanders Elementary School,100.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.97,Flanders Elementary School,97.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.101,Flanders Elementary School,101.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.98,Flanders Elementary School,98.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.96,Flanders Elementary School,96.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
