ASN,Category 1 - Layer 1,Category 1 - Layer 2,Category 2 - Layer 1,Category 2 - Layer 2,Category 3 - Layer 1,Category 3 - Layer 2,Category 4 - Layer 1,Category 4 - Layer 2,Category 5 - Layer 1,Category 5 - Layer 2,Category 6 - Layer 1,Category 6 - Layer 2,Category 7 - Layer 1,Category 7 - Layer 2,Category 8 - Layer 1,Category 8 - Layer 2,Category 9 - Layer 1,Category 9 - Layer 2,Category 10 - Layer 1,Category 10 - Layer 2,Category 11 - Layer 1,Category 11 - Layer 2,Category 12 - Layer 1,Category 12 - Layer 2,Category 13 - Layer 1,Category 13 - Layer 2,Category 14 - Layer 1,Category 14 - Layer 2,Category 15 - Layer 1,Category 15 - Layer 2,Category 16 - Layer 1,Category 16 - Layer 2,Category 17 - Layer 1,Category 17 - Layer 2,Category 18 - Layer 1,Category 18 - Layer 2,Category 19 - Layer 1,Category 19 - Layer 2,Category 20 - Layer 1,Category 20 - Layer 2,Category 21 - Layer 1,Category 21 - Layer 2,Category 22 - Layer 1,Category 22 - Layer 2,Category 23 - Layer 1,Category 23 - Layer 2,Category 24 - Layer 1,Category 24 - Layer 2,Category 25 - Layer 1,Category 25 - Layer 2,Category 26 - Layer 1,Category 26 - Layer 2,Category 27 - Layer 1,Category 27 - Layer 2,Category 28 - Layer 1,Category 28 - Layer 2,Category 29 - Layer 1,Category 29 - Layer 2,Category 30 - Layer 1,Category 30 - Layer 2,Category 31 - Layer 1,Category 31 - Layer 2,Category 32 - Layer 1,Category 32 - Layer 2,Category 33 - Layer 1,Category 33 - Layer 2,Category 34 - Layer 1,Category 34 - Layer 2,Category 35 - Layer 1,Category 35 - Layer 2,Category 36 - Layer 1,Category 36 - Layer 2,Category 37 - Layer 1,Category 37 - Layer 2,Category 38 - Layer 1,Category 38 - Layer 2,Category 39 - Layer 1,Category 39 - Layer 2,Category 40 - Layer 1,Category 40 - Layer 2,Category 41 - Layer 1,Category 41 - Layer 2,Category 42 - Layer 1,Category 42 - Layer 2,Category 43 - Layer 1,Category 43 - Layer 2,Category 44 - Layer 1,Category 44 - Layer 2,Category 45 - Layer 1,Category 45 - Layer 2,Category 46 - Layer 1,Category 46 - Layer 2,Category 47 - Layer 1,Category 47 - Layer 2,Category 48 - Layer 1,Category 48 - Layer 2,Category 49 - Layer 1,Category 49 - Layer 2,Category 50 - Layer 1,Category 50 - Layer 2,Category 51 - Layer 1,Category 51 - Layer 2,Category 52 - Layer 1,Category 52 - Layer 2,Category 53 - Layer 1,Category 53 - Layer 2,Category 54 - Layer 1,Category 54 - Layer 2,Category 55 - Layer 1,Category 55 - Layer 2,Category 56 - Layer 1,Category 56 - Layer 2,Category 57 - Layer 1,Category 57 - Layer 2,Category 58 - Layer 1,Category 58 - Layer 2,Category 59 - Layer 1,Category 59 - Layer 2,Category 60 - Layer 1,Category 60 - Layer 2,Category 61 - Layer 1,Category 61 - Layer 2,Category 62 - Layer 1,Category 62 - Layer 2,Category 63 - Layer 1,Category 63 - Layer 2,Category 64 - Layer 1,Category 64 - Layer 2,Category 65 - Layer 1,Category 65 - Layer 2,Category 66 - Layer 1,Category 66 - Layer 2,Category 67 - Layer 1,Category 67 - Layer 2,Category 68 - Layer 1,Category 68 - Layer 2
AS18994,Manufacturing,Chemical and Pharmaceutical Manufacturing,Education and Research,,Education and Research,Research and Development Organizations,Manufacturing,,Health Care Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS18999,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,Education and Research,Elementary and Secondary Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19030,Education and Research,Education Software,Education and Research,Other,"Retail Stores, Wholesale, and E-commerce Sites",,Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19035,Education and Research,"Colleges, Universities, and Professional Schools",Computer and Information Technology,Hosting and Cloud Provider,Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19070,Education and Research,"Colleges, Universities, and Professional Schools",Travel and Accommodation,Food Services and Drinking Places,Education and Research,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19096,Education and Research,Education Software,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19106,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19119,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19138,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19140,Education and Research,,Education and Research,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19153,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19162,Education and Research,Other,Education and Research,,"Media, Publishing, and Broadcasting",Radio and Television Providers,Education and Research,"Colleges, Universities, and Professional Schools","Media, Publishing, and Broadcasting","Print Media (Newspapers, Magazines, Books)",Community Groups and Nonprofits,Churches and Religious Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19166,Education and Research,,Education and Research,Other,Education and Research,Elementary and Secondary Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19184,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19185,Government and Public Administration,,Government and Public Administration,"Government and Regulatory Agencies, Administrations, Departments, and Services",Education and Research,,Community Groups and Nonprofits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19208,Computer and Information Technology,Software Development,Computer and Information Technology,,Education and Research,,Education and Research,Other,Computer and Information Technology,Internet Service Provider (ISP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19217,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19220,Education and Research,Education Software,Education and Research,Other,Education and Research,,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,Elementary and Secondary Schools,Service,"Law, Business, and Consulting Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19226,Education and Research,Research and Development Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19230,Community Groups and Nonprofits,"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",Education and Research,,Community Groups and Nonprofits,,Community Groups and Nonprofits,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19250,Computer and Information Technology,Phone Provider,Education and Research,Education Software,Service,,"Retail Stores, Wholesale, and E-commerce Sites",,Education and Research,,Education and Research,Other,"Media, Publishing, and Broadcasting",,"Media, Publishing, and Broadcasting","Print Media (Newspapers, Magazines, Books)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19258,Education and Research,Education Software,Education and Research,,Education and Research,"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",Education and Research,Other,Education and Research,"Colleges, Universities, and Professional Schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19303,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,Community Groups and Nonprofits,,Health Care Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19304,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,Other,Community Groups and Nonprofits,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19317,Service,,Service,"Law, Business, and Consulting Services",Education and Research,Research and Development Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19321,Education and Research,"Colleges, Universities, and Professional Schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19325,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19342,Education and Research,"Colleges, Universities, and Professional Schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19344,Education and Research,"Colleges, Universities, and Professional Schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19345,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,Education and Research,"Other Schools, Instruction, and Exam Preparation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19350,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19354,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,Education and Research,Elementary and Secondary Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19378,Community Groups and Nonprofits,"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",Education and Research,,Community Groups and Nonprofits,,Community Groups and Nonprofits,Other,Health Care Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19395,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,Education and Research,"Other Schools, Instruction, and Exam Preparation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19423,Education and Research,Education Software,Education and Research,"Colleges, Universities, and Professional Schools",Service,,Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19455,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,Education and Research,Elementary and Secondary Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19464,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19470,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,Elementary and Secondary Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19473,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19501,Education and Research,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19509,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19537,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,Elementary and Secondary Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19564,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19576,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,Community Groups and Nonprofits,Churches and Religious Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19606,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services,Computer and Information Technology,,Education and Research,Research and Development Organizations,"Media, Publishing, and Broadcasting",Radio and Television Providers,Service,Other,"Media, Publishing, and Broadcasting",,Service,"Law, Business, and Consulting Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19622,Manufacturing,Chemical and Pharmaceutical Manufacturing,Education and Research,Research and Development Organizations,Manufacturing,,Health Care Services,Medical Laboratories and Diagnostic Centers,Health Care Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19673,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19678,Manufacturing,Chemical and Pharmaceutical Manufacturing,Manufacturing,"Metal, Glass, Wood, and Paper Manufacturing",Manufacturing,Electronics and Computer Components,Service,Other,Computer and Information Technology,Technology Consulting Services,Education and Research,Research and Development Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19680,Community Groups and Nonprofits,Other,Education and Research,Research and Development Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19704,Education and Research,,Community Groups and Nonprofits,,Health Care Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19744,Community Groups and Nonprofits,"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",Education and Research,,Education and Research,Research and Development Organizations,Education and Research,"Colleges, Universities, and Professional Schools",Community Groups and Nonprofits,,"Media, Publishing, and Broadcasting",Other,Health Care Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19764,Education and Research,"Colleges, Universities, and Professional Schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19776,Education and Research,,Education and Research,Elementary and Secondary Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19782,Education and Research,Education Software,Education and Research,,Education and Research,Other,Education and Research,"Colleges, Universities, and Professional Schools",Computer and Information Technology,Internet Service Provider (ISP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19846,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,Education and Research,Elementary and Secondary Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19856,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19861,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,Education and Research,Elementary and Secondary Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19870,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,Education and Research,Elementary and Secondary Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19899,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19923,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19927,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,Education and Research,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19933,Education and Research,"Colleges, Universities, and Professional Schools",Government and Public Administration,"Government and Regulatory Agencies, Administrations, Departments, and Services",Education and Research,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19937,Education and Research,Education Software,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19941,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19945,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,Education and Research,Elementary and Secondary Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19980,Education and Research,Education Software,Education and Research,,Education and Research,"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",Education and Research,Other,Education and Research,"Colleges, Universities, and Professional Schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
