school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,url,trimmed_url
Hunter-Tannsersville Middle School High School,-74.13720703125,42.1972579956055,Secondary,USA,0351c8f3-19a4-3c2b-8076-57d415b5f81b,https://www.htcsd.org/,htcsd.org
Spencer-Van Etten High School,-76.5222244262695,42.2038879394531,Secondary,USA,b3f643c5-e1aa-30b6-872f-b4cd0aac0529,http://www.svecsd.org/,svecsd.org
Sidney Elementary School,-75.3848495483398,42.3048706054688,Primary,USA,13e499c4-9af3-3fa4-9eba-63784a828b42,http://www.sidneycsd.org/,sidneycsd.org
Cattaraugus Central High School,-78.8594818115234,42.3339500427246,Secondary,USA,8cc2c6d3-ddd3-3550-acd4-4340d5c34ffd,https://www.cattlv.wnyric.org/,cattlv.wnyric.org
Keshequa Central High School,-77.9410400390625,42.5780258178711,Secondary,USA,2f61edd4-5658-350e-a2de-f941c7496a5c,https://www.keshequa.org/,keshequa.org
Nunda Middle and High School,-77.9410400390625,42.5780258178711,Secondary,USA,2f61edd4-5658-350e-a2de-f941c7496a5c,https://www.keshequa.org/,keshequa.org
Groton Elementary,-76.3580322265625,42.5839653015137,Primary,USA,7115d19e-8f4c-37ba-b006-410d60fd2e0a,https://www.grotoncs.org/o/elementary,grotoncs.org
Bethlehem Central Middle School,-73.8253936767578,42.6192893981934,Secondary,USA,9b5a0b07-c598-3e68-8719-b3288c4fed16,https://www.bethlehemschools.org/bcms-2021-q1-honor-and-merit-rolls/,bethlehemschools.org
Homer High School,-76.1894378662109,42.6304054260254,Secondary,USA,73656428-bb67-3351-9b81-efc7e289a4d3,http://www.homercentral.org/,homercentral.org
Clayton A. Boughton High School,-73.9638900756836,42.6411094665527,Secondary,USA,f52f3f31-192a-34ac-9d1d-c65f7947655b,https://www.voorheesville.org/clayton-a-bouton-high-school/,voorheesville.org
Green Tech High Charter School,-73.7701644897461,42.6427917480469,Secondary,USA,432fd611-1678-3a3f-a932-62841e7a0e40,https://www.greentechhigh.org/,greentechhigh.org
Voorheesville Elementary School,-73.9374237060547,42.6488189697266,Primary,USA,aff7b466-f1fc-3bd1-8d6a-9f935f2d2aec,https://www.voorheesville.org/voorheesville-elementary/,voorheesville.org
New Scotland Elementary,-73.7926406860352,42.6544151306152,Primary,USA,17a00ed6-a0d7-3823-a048-cdc1f5ff1531,https://www.albanyschools.org/schools/newscotland/index,albanyschools.org
Bell Top Elementary School,-73.6827392578125,42.6678924560547,Primary,USA,cc3cfeda-b417-3448-8acb-07a58b1cda56,https://www.voorheesville.org/voorheesville-elementary/,voorheesville.org
Robert Frost Elementary School,-71.1686096191406,42.685173034668,Primary,USA,ad5fe828-643d-3b44-97b2-178161873b31,https://egcsd.org/bell-top-elementary/,egcsd.org
Farnsworth Middle School,-73.8962249755859,42.6899795532227,Secondary,USA,c3cc7c34-8488-3614-ae69-81a0c7fbc004,https://www.guilderlandschools.org/farnsworth-middle-school/,guilderlandschools.org
Poestenkill Elementary School,-73.5697708129883,42.6900978088379,Primary,USA,400a3a2f-2608-346d-99a0-c75904f8e688,https://www.averillpark.k12.ny.us/our-schools/poestenkill-elementary-school/,averillpark.k12.ny.us
Cooperstown Elementary School,-74.9319534301758,42.6908798217773,Primary,USA,f0b160d2-d29c-394d-ac79-0b64f0b66a42,http://www.cooperstowncs.org/,cooperstowncs.org
Tech Valley High School,-73.8359985351563,42.6918830871582,Secondary,USA,0cfd9561-23c1-33b4-872a-a8dbbb8be54d,https://www.techvalleyhigh.org/,techvalleyhigh.org
Blue Creek Elementary School,-73.7499389648438,42.7399826049805,Primary,USA,c425cc36-9b7c-3b72-ba57-84e4d9e3ee97,https://www.northcolonie.org/o/bces,northcolonie.org
KIPP Troy Prep Elementary School,-73.6822280883789,42.7483520507813,Primary,USA,54514f56-f8cf-375e-9ecf-63fcc224ed7b,https://www.kippcapital.org/schools/kipp-troy-prep-elementary-school/,kippcapital.org
Lisha Kill Middle School,-73.8577117919922,42.7487182617188,Secondary,USA,f3332f95-93da-3b53-bc4a-3055bf4e2475,https://lk.southcolonieschools.org/,lk.southcolonieschools.org
Turnpike Elementary School,-73.6667404174805,42.7903633117676,Primary,USA,7a33dca4-2bde-363c-a75e-dc5400be2fb5,https://tes.lansingburgh.org/,tes.lansingburgh.org
William C Keane Elementary School,-73.9246063232422,42.796314239502,Primary,USA,1d2d48ce-6a80-3f87-9795-5eed877b1dc8,https://www.schenectadyschools.org/o/wck,schenectadyschools.org
Hamilton Elementary School,-73.9495086669922,42.7965812683106,Primary,USA,3d12c846-cb39-3311-a51e-ce07036b7055,https://www.schenectadyschools.org/o/hes,schenectadyschools.org
Martin Luther King Magnet Elementary School,-73.9348983764648,42.801872253418,Primary,USA,31b72731-7a6d-3ee4-8b3c-193f94bb1b2c,https://www.schenectadyschools.org/o/king,schenectadyschools.org
Fabius-Pompey Middle School-High School,-75.9861373901367,42.8282890319824,Secondary,USA,a5cd0293-3e4f-3557-8e37-d7e1877db496,https://www.fabiuspompey.org/,fabiuspompey.org
West Senior High School,-78.7725143432617,42.8331031799316,Secondary,USA,64f9f73c-2432-3f9e-a971-a2cc76d9c677,https://www.wscschools.org/WestSenior,wscschools.org
Lorraine Elementary School,-78.8145523071289,42.8466873168945,Primary,USA,57b75e60-12b1-3586-a792-6dd104c482b2,https://www.buffaloschools.org/o/ps72,buffaloschools.org
Lancaster Middle School,-78.673713684082,42.8954277038574,Secondary,USA,27cf646c-84b4-3f35-a2de-661ce8627027,https://lms.lancasterschools.org/,lms.lancasterschools.org
Avon Middle School,-77.739128112793,42.9059257507324,Secondary,USA,4d919438-030c-30b9-b07c-6335c8afbfdc,https://www.avoncsd.org/,avoncsd.org
Waterloo High & Middle School Campus,-76.8699569702148,42.913745880127,Secondary,USA,05d3acf6-049d-34db-a7c1-f253fa7f4712,https://www.waterloocsd.org/,waterloocsd.org
Seneca Falls Middle School,-76.7988662719727,42.9206314086914,Secondary,USA,3ca4a78c-85e5-347d-a6ac-4cba10b7c7e7,https://sfmiddleschool.senecafallscsd.org/,sfmiddleschool.senecafallscsd.org
Skaneateles High School,-76.4209518432617,42.9514236450195,Secondary,USA,4b16babe-034e-387b-ba64-c560d6362ecc,https://www.skanschools.org/middleschool,skanschools.org
Red Jacket High School,-77.2319869995117,42.9597434997559,Secondary,USA,dba064fe-d23c-35ef-84cb-9871ee07b1cd,https://rjms.redjacket.org/,rjms.redjacket.org
Amsterdam High School,-74.1760787963867,42.9658660888672,Secondary,USA,de2233a5-a473-33b3-a3f9-e991759dc274,https://www.gasd.org/o/ahs,gasd.org
Kenmore West Sr. High School,-78.8642654418945,42.9736976623535,Secondary,USA,fd7c9096-83cb-300d-b541-45f4c3a0e513,https://kenwest.ktufsd.org/,kenwest.ktufsd.org
Pembroke Jr. Sr. High School,-78.4038696289063,42.9912376403809,Secondary,USA,f28e2dd6-f995-3ab5-8542-66f82b259fd3,https://www.pembrokecsd.org/,pembrokecsd.org
Eagle Hill Middle School,-75.9568634033203,42.9964561462402,Secondary,USA,7ef8317e-b250-3a06-b6fa-173afbf48145,https://www.fmschools.org/,fmschools.org
Enders Road Elementary School,-75.9568634033203,42.9989547729492,Primary,USA,92f58195-4728-35df-96f8-8fee89d0a1fa,https://www.fmschools.org/enders-road-elementary-school/,fmschools.org
OESJ High School,-74.6762619018555,43.0010948181152,Secondary,USA,ce7d8dd7-5cda-3c7a-a874-fc2a63b70020,https://www.oesj.org/,oesj.org
Immaculate Conception Elementary School,-75.9922637939453,43.0240058898926,Primary,USA,cb974921-42e3-3396-b35b-0bb8be893a94,https://www.icschool.org/,icschool.org
Westhill Central High School,-76.2021484375,43.0300674438477,Secondary,USA,7ead2b29-bff2-36ef-b2ab-64b8fa098b03,https://www.westhillschools.org/highschool,westhillschools.org
Jordan-Elbridge Senior High School,-76.4728240966797,43.0456695556641,Secondary,USA,1f933352-2064-3c75-9769-1eeed1f41564,https://www.jecsd.org/,jecsd.org
OESJ Elementary/Middle School,-74.6631240844727,43.0611152648926,Primary,USA,9283418f-e384-3d70-84b2-bc84782d156e,https://www.oesj.org/,oesj.org
Macedon Elementary School,-77.3056335449219,43.0697593688965,Primary,USA,7bfe3a02-de58-3053-8807-a0d2254c9d12,https://intermediate.palmaccsd.org/,intermediate.palmaccsd.org
Pine Grove Middle and Woodland Elementary,-76.0225524902344,43.0774192810059,Primary,USA,cc439b40-161a-3ea6-a2e6-ab9cb7f2a001,https://pinegrove.esmschools.org/,pinegrove.esmschools.org
