cidr,school_name,reason
24.103.131.216/29,Willow Field Elementary School,no_phase2_match_or_timed_out
150.221.7.72/29,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7604::/46,Willow Field Elementary School,no_phase2_match_or_timed_out
150.221.6.184/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2602:107:6511:75::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
69.193.120.124/30,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.242.96/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.176.220/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.30.253.40/29,Willow Field Elementary School,no_phase2_match_or_timed_out
208.105.110.52/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.44.56/29,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6d5:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6d8:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6c1:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6d9:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.68.252/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.103.165.140/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6e1:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.58.241.62/32,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7680::/41,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6ef:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6dc:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a09:bac3:a720::/45,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.9.220/30,Willow Field Elementary School,no_phase2_match_or_timed_out
69.193.115.232/30,Willow Field Elementary School,no_phase2_match_or_timed_out
72.45.245.112/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f3:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
150.221.4.208/29,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.9.0/29,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b382:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.51.252/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.122.108/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a09:bac1:76e1:6d60::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.133.172/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.94.32/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.105.255.96/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.46.224/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.6.156/30,Willow Field Elementary School,no_phase2_match_or_timed_out
150.221.14.176/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.122.124/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.213.210.28/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7710::/44,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.110.112/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2602:107:6511:65::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.213.223.120/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f0:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6d9:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7740::/42,Willow Field Elementary School,no_phase2_match_or_timed_out
24.213.191.192/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.60.172/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.128.84/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.98.16/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.58.52.81/32,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.24.196/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6da:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f4:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.103.167.88/29,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.123.116/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b404:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
208.105.100.172/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.189.28/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.168.48/30,Willow Field Elementary School,no_phase2_match_or_timed_out
150.221.12.28/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.105.157.212/30,Willow Field Elementary School,no_phase2_match_or_timed_out
