school_name,total_ips,high,medium,low,best_score,best_ip,best_hostname
Public School 57,0,0,0,0,0,,
Saint Marys School,0,0,0,0,0,,
the freshmen building,0,0,0,0,0,,
Union County Charter school,0,0,0,0,0,,
P.S 247 The New York City College Partnership Elementary School,0,0,0,0,0,,
Poly Prep Country Day School,0,0,0,0,0,,
Union County TEAMS Charter School,0,0,0,0,0,,
Public School 197,0,0,0,0,0,,
Evergreen Elementary School,0,0,0,0,0,,
Intermediate School 381,0,0,0,0,0,,
St. Teresa-St. Rita STREAM Academy,0,0,0,0,0,,
New Utrecht High School,0,0,0,0,0,,
Public School 13,0,0,0,0,0,,
Public School 35,0,0,0,0,0,,
Fontbonne Hall Academy,0,0,0,0,0,,
Public School 204,0,0,0,0,0,,
Public School 222,0,0,0,0,0,,
Public School 29,0,0,0,0,0,,
Rabbi Jacob Joseph Girls School,0,0,0,0,0,,
Public School 205,0,0,0,0,0,,
William O’Connor School,0,0,0,0,0,,
School Number 7,0,0,0,0,0,,
Kings Daughters Day School,0,0,0,0,0,,
Yeshivat Mizrachi L'Banim,0,0,0,0,0,,
Meorot Beit Yaakov,0,0,0,0,0,,
Charles H Stillman Elementary School,0,0,0,0,0,,
Bright Minds Academy,0,0,0,0,0,,
Yeshiva Toras Emes Kamenitz,0,0,0,0,0,,
Number Four School,0,0,0,0,0,,
Joseph S Gruss Yeshiva High School,0,0,0,0,0,,
Saint Athanasius School,0,0,0,0,0,,
Mikdash Melech Mechina,0,0,0,0,0,,
Shaare Torah School,0,0,0,0,0,,
Public School 199,0,0,0,0,0,,
Mill Basin Yeshiva Academy,0,0,0,0,0,,
Kids Campus,0,0,0,0,0,,
Brandeis Hebrew Academy,0,0,0,0,0,,
Union County Vocational-Technical Schools,0,0,0,0,0,,
Franklin Elementary School,0,0,0,0,0,,
HAFTR Lower School,0,0,0,0,0,,
Number Two School (Lawrence Primary School),0,0,0,0,0,,
Public School 104,0,0,0,0,0,,
Public School 30,0,0,0,0,0,,
HAFTR Middle School,0,0,0,0,0,,
Saint Agnes School,0,0,0,0,0,,
Hebrew Academy of the Five Towns & Rockaway,0,0,0,0,0,,
Heirs of Promise Christian School,0,0,0,0,0,,
Our Lady of Guadalupe School,0,0,0,0,0,,
Our Lady Help of Christians School,0,0,0,0,0,,
Star Bright Christian Learning Center School,0,0,0,0,0,,
Public School 201,0,0,0,0,0,,
Public School 112,0,0,0,0,0,,
Saint Bernard School,0,0,0,0,0,,
Yeshiva Birchas Shmuel,0,0,0,0,0,,
Saint Thomas Aquinas School,0,0,0,0,0,,
Yeshiva Ketana of Long Island,0,0,0,0,0,,
Staten Island School of Civic Leadership,0,0,0,0,0,,
Intermediate School 49,0,0,0,0,0,,
Central Jersey Arts Charter School,0,0,0,0,0,,
Intermediate School 78,0,0,0,0,0,,
Visitation Academy,0,0,0,0,0,,
PS 264,0,0,0,0,0,,
Harrison School,0,0,0,0,0,,
Franklin Delano Roosevelt High School,0,0,0,0,0,,
North Plainfield Adult High School,0,0,0,0,0,,
Growing Tree Preschool,0,0,0,0,0,,
Public School 99,0,0,0,0,0,,
P.S. 48 Mapleton,0,0,0,0,0,,
Number 2 Elementary School,0,0,0,0,0,,
Somerset Elementary School,0,0,0,0,0,,
Public School 203,0,0,0,0,0,,
Edward B. Shallow Junior High School 227,0,0,0,0,0,,
Public School 312,0,0,0,0,0,,
Public School 78,0,0,0,0,0,,
Oceanside Schools,0,0,0,0,0,,
Arthur L. Johnson High School,0,0,0,0,0,,
Public School 121,0,0,0,0,0,,
W. S. Boardman Elementary School #9E,0,0,0,0,0,,
Intermediate School 51,0,0,0,0,0,,
North Plainfield Middle and High Schools,0,0,0,0,0,,
Mesivta Tiferes Yisroel,0,0,0,0,0,,
Christopher Academy School,0,0,0,0,0,,
Stony Brook Elementary School,0,0,0,0,0,,
Oceanside Middle School,0,0,0,0,0,,
Walter A. Kassenbrock Elementary PS 185,0,0,0,0,0,,
Featherbed Lane School,0,0,0,0,0,,
Public School 127,0,0,0,0,0,,
HAFTR High School,0,0,0,0,0,,
Mesivta Lev Torah,0,0,0,0,0,,
Mesivta Zichron Eliezer,0,0,0,0,0,,
Eagle Academy for Young Men of Staten Island,0,0,0,0,0,,
Adelphi Academy,0,0,0,0,0,,
Dimitrios and Georgia Kaloidis Parochial School,0,0,0,0,0,,
Public School 22,0,0,0,0,0,,
Public School 176,0,0,0,0,0,,
Saint Joseph Elementary School,0,0,0,0,0,,
Eis Laasois,0,0,0,0,0,,
J Ackerman Coles Elementary School,0,0,0,0,0,,
Bnos Zion of Bobov,0,0,0,0,0,,
Union Catholic High School,0,0,0,0,0,,
Public School 68,0,0,0,0,0,,
Mother Seton Regional High School,0,0,0,0,0,,
Yeshivah of Flatbush Joel Braverman High School,0,0,0,0,0,,
Beadleston High School,0,0,0,0,0,,
Bas Melech School for Girls,0,0,0,0,0,,
District 20 Pre-K Center At 1423 62nd Street,0,0,0,0,0,,
Valley Road Elementary School,0,0,0,0,0,,
Public School 119,0,0,0,0,0,,
Hillcrest Academy South School,0,0,0,0,0,,
Intermediate School 259,0,0,0,0,0,,
Westlake School,0,0,0,0,0,,
Watchung School,0,0,0,0,0,,
Yeshivat Ohel Torah,0,0,0,0,0,,
Public School 231K,0,0,0,0,0,,
The SEEALL Academy;Public School 231K,0,0,0,0,0,,
The SEEALL Academy,0,0,0,0,0,,
Virginia Reginae School,0,0,0,0,0,,
Yeshiva Rabbi Chaim Berlin,0,0,0,0,0,,
Fort Hamilton High School,0,0,0,0,0,,
Messiah Lutheran School,0,0,0,0,0,,
The Cheder,0,0,0,0,0,,
Terrill Middle School,0,0,0,0,0,,
Central Elementary School,0,0,0,0,0,,
Blessed Sacrament School,0,0,0,0,0,,
United Lubavitcher Yeshivoth,0,0,0,0,0,,
I.S. 187 The Christa McAuliffe School,0,0,0,0,0,,
Saint Theresa's School,0,0,0,0,0,,
Notre Dame Academy,0,0,0,0,0,,
